GeoId,hsd80_base,hsd80_2025_ssp5,hsd80_2025_ssp3,hsd80_2050_ssp5,hsd80_2050_ssp3,d_hsd80_2025_ssp5,d_hsd80_2025_ssp3,d_hsd80_2050_ssp5,d_hsd80_2050_ssp3,spread_2025,spread_2050
0100001,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100003,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100005,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100006,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100007,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100008,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100011,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100012,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100013,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100030,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100060,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100090,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100100,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100120,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100180,36.85714340209961,44.52941131591797,44.94117736816406,65.93877410888672,64.469390869140625,7.672267913818359,8.084033966064453,29.08163070678711,27.612247467041016,-0.41176605224609375,1.4693832397460938
0100185,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100188,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100189,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100190,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100194,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100195,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100202,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100210,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100240,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100270,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100300,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100330,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
0100360,61.35714340209961,79.67646789550781,76.97058868408203,104.30612182617188,102.93877410888672,18.319324493408203,15.613445281982422,42.948978424072266,41.58163070678711,2.7058792114257812,1.3673477172851562
