district_name,district_geoid,median_household_income,median_family_income,labor_force_pct,unemployment_pct,uninsured_pct,snap_pct,owner_occ_pct,renter_occ_pct,median_home_value
"Alabaster City School District, AL",100190,89423,102018,NA,3,8.2,5,85.3,14.7,227300
"Albertville City School District, AL",100005,55933,65714,NA,6,12.2,10.2,68.5,31.5,149400
"Alexander City City School District, AL",100030,45165,63716,NA,7.5,9.7,20,67.7,32.3,127200
"Andalusia City School District, AL",100060,44196,59951,NA,6.6,11.2,16.1,63.5,36.5,140400
"Anniston City School District, AL",100090,45642,64070,NA,5.5,13.1,22.5,61.3,38.7,131800
"Arab City School District, AL",100100,56471,80236,NA,3,9.3,11,67.8,32.2,183800
"Athens City School District, AL",100120,57444,87641,NA,4.3,10.4,11.2,63.2,36.8,224200
"Attalla City School District, AL",100180,51875,70405,NA,2.5,11.9,8.3,75.5,24.5,106300
"Auburn City School District, AL",100210,55509,104540,NA,3,5.5,5.7,51.3,48.7,327000
"Autauga County School District, AL",100240,68315,83790,NA,2.8,7.4,9,75.5,24.5,191800
"Baldwin County School District, AL",100270,71830,90520,NA,3.5,8.9,7.4,78.8,21.2,260700
"Barbour County School District, AL",100300,39801,54179,NA,6.4,9.9,20.8,74.3,25.7,79200
"Bessemer City School District, AL",100330,34953,48803,NA,10.8,14.2,28.5,54.3,45.7,118600
"Bibb County School District, AL",100360,50669,70064,NA,8.7,8.4,20.1,75.7,24.3,120100
"Birmingham City School District, AL",100390,42464,55541,NA,7.5,12.5,22,45.9,54.1,123000
"Blount County School District, AL",100420,59536,73963,NA,5.9,9.8,10.6,83.2,16.8,158000
"Boaz City School District, AL",100012,43276,63052,NA,2,11.3,18.6,66.2,33.8,131500
"Brewton City School District, AL",100450,45881,63214,NA,5,8,18.8,63.3,36.7,133800
"Bullock County School District, AL",100480,36136,43750,NA,3.7,12.2,28.1,64.7,35.3,87700
"Butler County School District, AL",100510,44429,59217,NA,6.8,11,15.4,70.8,29.2,94800
"Calhoun County School District, AL",100540,59338,72340,NA,8.1,9.4,15.9,80.4,19.6,132800
"Chambers County School District, AL",100600,49107,59808,NA,3.1,10.5,15.4,74.5,25.5,121900
"Cherokee County School District, AL",100630,46621,63429,NA,4,10.2,11.3,79.7,20.3,158700
"Chickasaw City School District, AL",100188,38985,49189,NA,4.7,11.8,26.5,47.7,52.3,89300
"Chilton County School District, AL",100660,62471,72090,NA,5.3,11.5,13,75,25,136000
"Choctaw County School District, AL",100690,43299,64349,NA,5.2,8.2,18.3,82,18,101600
"Clarke County School District, AL",100720,47453,66412,NA,13.3,9.8,20.2,76.3,23.7,119500
"Clay County School District, AL",100750,48074,60216,NA,5.7,8.1,13.6,78.3,21.7,144100
"Cleburne County School District, AL",100780,51571,72354,NA,2.6,9.9,13.9,78,22,132800
"Coffee County School District, AL",100810,63304,79333,NA,4.9,12.6,11,83.4,16.6,140400
"Colbert County School District, AL",100840,60031,67866,NA,4.2,9.3,17.2,82,18,125200
"Conecuh County School District, AL",100870,39888,55380,NA,4.4,8.6,14.9,74.7,25.3,98800
"Coosa County School District, AL",100900,52279,64482,NA,4.4,6.2,11.5,81.2,18.8,109500
"Covington County School District, AL",100930,54127,70248,NA,4.8,8.8,11.9,80.7,19.3,128300
"Crenshaw County School District, AL",100960,48557,69602,NA,6.1,8.5,17,74.6,25.4,100400
"Cullman City School District, AL",100990,56894,80539,NA,2.8,6.9,11.5,59.3,40.7,193200
"Cullman County School District, AL",101020,58555,70974,NA,4.7,11.5,9.6,80.8,19.2,158800
"Dale County School District, AL",101050,53723,67500,NA,5.5,10.2,16.8,71.2,28.8,119200
"Daleville City School District, AL",101080,56013,75394,NA,6.9,11.3,17.9,64.3,35.7,119100
"Dallas County School District, AL",101110,43536,58281,NA,6,9.4,29.9,76.4,23.6,90300
"Decatur City School District, AL",101170,55164,69560,NA,5.1,12.1,13,63.8,36.2,170000
"DeKalb County School District, AL",101140,50162,61631,NA,3.4,14.5,15.7,76.2,23.8,124400
"Demopolis City School District, AL",101200,51364,68323,NA,0,9.7,20.5,53.5,46.5,198600
"Dothan City School District, AL",101230,53704,73395,NA,5.1,11.3,15.3,58.7,41.3,175900
"Elba City School District, AL",101260,41775,63958,NA,8.1,10.5,13.7,79.7,20.3,91900
"Elmore County School District, AL",101290,75103,87184,NA,4.1,8.2,10.1,78.4,21.6,202700
"Enterprise City School District, AL",101320,64888,75106,NA,4.1,9.6,12.4,57.9,42.1,190700
"Escambia County School District, AL",101350,39954,55811,NA,10,13.1,12.9,67.8,32.2,119800
"Etowah County School District, AL",101380,58837,74153,NA,4.8,8.2,9.6,83.3,16.7,169000
"Eufaula City School District, AL",101410,39511,57174,NA,5.2,11.3,26.1,57.6,42.4,134100
"Fairfield City School District, AL",101440,45646,54254,NA,8.3,12.2,21.6,56.3,43.7,117400
"Fayette County School District, AL",101470,45686,61376,NA,10.4,10.5,20.4,74.3,25.7,110600
"Florence City School District, AL",101530,47048,62953,NA,5.7,12.1,15.7,49.9,50.1,168800
"Fort Payne City School District, AL",101560,44549,55465,NA,6.1,14.9,19.3,65.7,34.3,145600
"Fort Rucker School District, AL",100001,72681,66471,NA,16.1,0.4,0.8,0.8,99.2,NA
"Franklin County School District, AL",101590,45656,62868,NA,4,11.8,16.8,77.1,22.9,130400
"Gadsden City School District, AL",101620,39696,55134,NA,8.8,18.2,23.5,55.5,44.5,96900
"Geneva City School District, AL",101640,46151,48915,NA,6,10.8,18.8,68.7,31.3,125300
"Geneva County School District, AL",101660,49948,61681,NA,3.3,12.5,15.4,77.9,22.1,119100
"Greene County School District, AL",101680,32796,53019,NA,4.5,13.9,25.7,73.5,26.5,88800
"Guntersville City School District, AL",101690,61453,86204,NA,3.7,8.8,16.5,65.8,34.2,268700
"Hale County School District, AL",101710,35851,64661,NA,7.6,7,25.1,77.5,22.5,109400
"Haleyville City School District, AL",101720,53494,62014,NA,4.8,11.3,13.4,69,31,104100
"Hartselle City School District, AL",101730,64552,89766,NA,4,4.8,14.5,74,26,174800
"Henry County School District, AL",101740,58395,75475,NA,5.3,9.6,15.8,81.6,18.4,132400
"Homewood City School District, AL",101760,97366,147785,NA,2,4.3,2,63.6,36.4,463500
"Hoover City School District, AL",100007,100905,126848,NA,3.9,4.4,4.8,69,31,364800
"Houston County School District, AL",101770,57486,70897,NA,4.6,12.5,13.7,78.4,21.6,141000
"Huntsville City School District, AL",101800,67901,90729,NA,4.6,9.3,10.8,57.5,42.5,236200
"Jackson County School District, AL",101830,45471,58629,NA,7,11.6,14,78.4,21.6,121000
"Jacksonville City School District, AL",101860,46451,62715,NA,6.9,10.4,19.6,52.7,47.3,174200
"Jasper City School District, AL",101890,62850,78560,NA,5.3,10.4,18.8,65.5,34.5,196300
"Jefferson County School District, AL",101920,67710,80155,NA,5.2,8.7,10.5,75.4,24.6,176400
"Lamar County School District, AL",101950,49565,63495,NA,5,7.8,17.9,74.7,25.3,108200
"Lanett City School District, AL",101980,48125,64138,NA,5.6,11.9,23,62.1,37.9,95800
"Lauderdale County School District, AL",102010,67806,83579,NA,2.1,7.6,7.1,81.7,18.3,178400
"Lawrence County School District, AL",102040,54786,71188,NA,3,9.1,16.4,79.4,20.6,134200
"Lee County School District, AL",102070,60285,74857,NA,4.1,11.4,11.4,79.2,20.8,163300
"Leeds City School District, AL",100011,67159,80098,NA,1.4,12.7,8,74.1,25.9,197000
"Limestone County School District, AL",102100,78037,90729,NA,4.5,8.9,7.6,82.8,17.2,201000
"Linden City School District, AL",102130,40000,58712,NA,9.8,12.6,16,73,27,89200
"Lowndes County School District, AL",102160,33125,50126,NA,7.5,8.9,27.2,77.5,22.5,83400
"Macon County School District, AL",102190,41206,52617,NA,12.5,11.1,23.3,63,37,93900
"Madison City School District, AL",100008,118132,142113,NA,3,3.5,4.9,74.8,25.2,327100
"Madison County School District, AL",102220,91392,104761,NA,3.9,6.6,6,85.9,14.1,233500
"Marengo County School District, AL",102250,41694,68674,NA,2.7,7.3,21.6,81.7,18.3,65800
"Marion County School District, AL",102310,48483,59222,NA,7.4,11.6,15.5,72.9,27.1,98700
"Marshall County School District, AL",100006,62267,71522,NA,3.5,11.3,9.1,83.2,16.8,165500
"Maxwell AFB School District, AL",100003,111071,119531,NA,5.6,4.7,1.5,0,100,NA
"Midfield City School District, AL",102350,48219,55000,NA,6.8,15.5,27.2,59,41,84800
"Mobile County School District, AL",102370,54893,69775,NA,6,11.6,17.5,63,37,163000
"Monroe County School District, AL",102400,39965,59610,NA,12.2,11,12.5,72.4,27.6,109300
"Montgomery County School District, AL",102430,55253,68626,NA,7,10.9,20.2,56.4,43.6,145100
"Morgan County School District, AL",102480,68211,85562,NA,3.2,11.5,10.8,83.7,16.3,184300
"Mountain Brook City School District, AL",102490,167007,206417,NA,0.9,0.6,0,89.4,10.6,803000
"Muscle Shoals City School District, AL",102520,70493,74270,NA,3.2,6,8.6,73.2,26.8,183900
"Oneonta City School District, AL",102550,44167,62054,NA,7,12.8,12.2,55.1,44.9,193800
"Opelika City School District, AL",102580,55218,77131,NA,5.1,10.7,14.8,69.5,30.5,191800
"Opp City School District, AL",102610,42956,61397,NA,6,13.8,14.3,70.6,29.4,111800
"Oxford City School District, AL",102635,63939,70833,NA,5.6,10.8,13.5,73.4,26.6,161100
"Ozark City School District, AL",102640,47727,65275,NA,10.8,10.9,22.7,61.5,38.5,128700
"Pelham City School District, AL",100194,94108,123537,NA,1.8,5.7,2.8,84.1,15.9,261100
"Pell City City School District, AL",102650,70556,82438,NA,5.5,8.2,9.2,77.7,22.3,211600
"Perry County School District, AL",102670,32332,40462,NA,15.7,6.6,34,70.1,29.9,81700
"Phenix City City School District, AL",102700,46944,61690,NA,7.1,12.7,19,51.8,48.2,154000
"Pickens County School District, AL",102730,45339,59738,NA,5.3,8.5,16.3,74.2,25.8,119800
"Piedmont City School District, AL",102760,50223,67929,NA,4.3,15.8,18.6,69.9,30.1,101200
"Pike County School District, AL",102790,45962,67393,NA,6.7,9.7,19.6,78.2,21.8,106100
"Randolph County School District, AL",102820,54530,67337,NA,3.2,8.2,12.6,82.3,17.7,166500
"Roanoke City School District, AL",102850,43664,55924,NA,3.4,9.2,26.5,69.6,30.4,111000
"Russell County School District, AL",102880,55880,66407,NA,4.7,9.4,16.9,80.1,19.9,154900
"Russellville City School District, AL",102910,50411,60750,NA,3.5,13.8,25.9,64.8,35.2,109300
"Saraland City School District, AL",100185,62802,93022,NA,4.1,6.1,6.7,74.9,25.1,188400
"Satsuma City School District, AL",100189,87974,100132,NA,5.9,4.5,7.8,81.8,18.2,177600
"Scottsboro City School District, AL",102940,49287,61605,NA,3.8,9.4,14.2,70.7,29.3,154100
"Selma City School District, AL",102970,31084,46266,NA,12.9,9.6,30.1,46.8,53.2,92700
"Sheffield City School District, AL",103000,39666,61923,NA,3.8,9.3,19.3,58.2,41.8,120700
"Shelby County School District, AL",103030,86324,109108,NA,3.5,6.7,5.5,80.8,19.2,270700
"St. Clair County School District, AL",103062,72433,81670,NA,3.8,8.6,10.5,82.8,17.2,195900
"Sumter County School District, AL",103090,31726,46198,NA,8.2,9.7,25,69.3,30.7,88000
"Sylacauga City School District, AL",103120,46137,65164,NA,8.9,8.3,19.1,54,46,159000
"Talladega City School District, AL",103150,37945,47229,NA,14.3,13.7,21.8,54.1,45.9,99900
"Talladega County School District, AL",103180,54469,68628,NA,7.4,8.6,13.7,80.2,19.8,124300
"Tallapoosa County School District, AL",103210,56631,64653,NA,12.1,9.2,16.8,82.7,17.3,132200
"Tallassee City School District, AL",103240,60200,65663,NA,6.9,8.9,15.1,63.1,36.9,160200
"Tarrant City School District, AL",103270,37768,55476,NA,6.5,16.5,28.6,37.7,62.3,100800
"Thomasville City School District, AL",103300,48167,61167,NA,8.7,8.2,25.6,55.6,44.4,192900
"Troy City School District, AL",103330,38783,69662,NA,3.5,8.3,12.3,48.7,51.3,194600
"Trussville City School District, AL",100013,117750,136028,NA,2.8,4.1,1.8,92.9,7.1,332800
"Tuscaloosa City School District, AL",103360,47104,76521,NA,6.9,7.2,12.9,45.5,54.5,227600
"Tuscaloosa County School District, AL",103390,71273,88282,NA,4.5,6.3,9.2,76.3,23.7,215200
"Tuscumbia City School District, AL",103420,47530,66006,NA,1.2,6.5,18.2,56.8,43.2,150000
"Vestavia Hills City School District, AL",103430,127582,167346,NA,1.5,2.9,1.6,76.7,23.3,467600
"Walker County School District, AL",103450,49794,66452,NA,5.8,12.6,13.4,80.6,19.4,108200
"Washington County School District, AL",103480,51184,75492,NA,6.3,9.2,12.3,88.4,11.6,138100
"Wilcox County School District, AL",103510,38208,46269,NA,10.7,9.4,35.4,79.5,20.5,83200
"Winfield City School District, AL",103540,55262,81087,NA,2.8,8.2,13.9,74.9,25.1,145300
"Winston County School District, AL",103580,48075,60643,NA,4.2,11.1,13.2,82.9,17.1,110800
"Alaska Gateway School District, AK",200050,44196,53625,NA,8.8,16.2,14.2,74.9,25.1,186600
"Aleutian Region School District, AK",200010,85625,78750,NA,0.8,22.8,2.4,28.2,71.8,65700
"Aleutians East Borough School District, AK",200007,79961,79922,NA,4.4,39.7,12.7,58.8,41.2,164100
"Anchorage School District, AK",200180,95731,115272,NA,5.2,10.5,8.9,63.8,36.2,363800
"Annette Island School District, AK",200525,78365,95278,NA,11.7,15.2,28,77.6,22.4,163900
"Bering Strait School District, AK",200020,50871,52708,NA,22.9,15.7,46.9,74.2,25.8,102400
"Bristol Bay Borough School District, AK",200030,94167,104688,NA,2.7,19.1,5.6,50.7,49.3,253400
"Chatham School District, AK",200730,59464,73125,NA,10.9,14.8,15.1,76,24,250500
"Chugach School District, AK",200800,53438,56250,NA,12.1,14.3,22.1,35.5,64.5,NA
"Copper River School District, AK",200070,71288,100096,NA,6.9,19,11.7,68.5,31.5,236000
"Cordova City School District, AK",200060,79526,100096,NA,12.1,16.9,4.4,66.8,33.2,341100
"Craig City School District, AK",200090,66146,84000,NA,5.7,16.3,10.6,64,36,231100
"Delta/Greely School District, AK",200100,88359,95357,NA,5.4,17,4.2,75,25,261200
"Denali Borough School District, AK",200770,87292,131750,NA,1.9,3,2.5,86.9,13.1,227000
"Dillingham City School District, AK",200120,92578,94375,NA,7.1,18.7,13,50.4,49.6,287500
"Fairbanks North Star Borough School District, AK",200600,81655,100854,NA,5.5,8.6,6.2,60,40,276800
"Galena City School District, AK",200130,77813,86806,NA,6.9,11.3,10.9,62.4,37.6,107400
"Haines Borough School District, AK",200270,68276,101875,NA,4.3,9.1,2.4,69.7,30.3,289200
"Hoonah City School District, AK",200300,72969,86389,NA,18.6,26.2,18.2,71,29,246500
"Hydaburg City School District, AK",200330,53125,54500,NA,10,39.6,30.4,64.8,35.2,128800
"Iditarod Area School District, AK",200520,40357,51071,NA,14.3,25.6,44.1,72.7,27.3,69600
"Juneau Borough School District, AK",200210,95711,113750,NA,4.5,6.9,7,64.3,35.7,404600
"Kake City School District, AK",200360,61250,69375,NA,9.4,31.9,19.8,70.3,29.7,171900
"Kashunamiut School District, AK",200005,NA,NA,NA,13.5,12.5,81.7,78.3,21.7,92500
"Kenai Peninsula Borough School District, AK",200390,76272,101126,NA,7.2,12.7,9.2,76.8,23.2,280900
"Ketchikan Gateway Borough School District, AK",200150,82763,105493,NA,4.1,9.4,9.8,65.7,34.3,361000
"Klawock City School District, AK",200450,60625,75972,NA,10.2,28.4,11.2,67.9,32.1,245200
"Kodiak Island Borough School District, AK",200480,91138,104276,NA,5.7,12.9,10.3,56.6,43.4,355000
"Kuspuk School District, AK",200760,49000,52750,NA,15.4,19.9,38.1,69.1,30.9,209800
"Lake and Peninsula Borough School District, AK",200485,61607,64875,NA,14,31.5,30.7,67.2,32.8,167000
"Lower Kuskokwim School District, AK",200001,67732,69083,NA,17,14.1,42.6,57.7,42.3,112600
"Lower Yukon School District, AK",200003,42578,44250,NA,21.5,12.3,51.8,69.5,30.5,80500
"Matanuska-Susitna Borough School District, AK",200510,86435,100753,NA,7,13.3,10.7,76.5,23.5,296900
"Nenana City School District, AK",200540,50357,61250,NA,8,15.7,22.8,68.3,31.7,99000
"Nome School District, AK",200570,103542,125250,NA,8.4,12.8,13.8,46.7,53.3,333300
"North Slope Borough School District, AK",200610,83472,92656,NA,6.8,15,15.1,46.7,53.3,193800
"Northwest Arctic Borough School District, AK",200625,77647,77546,NA,15.5,19.2,34.2,61,39,147200
"Pelican City School District, AK",200630,NA,NA,NA,14.3,28.1,0,77.8,22.2,120000
"Petersburg Borough School District, AK",200660,77826,90037,NA,4.4,9.6,10.6,73.4,26.6,279800
"Pribilof School District, AK",200670,83571,83750,NA,2.4,21.5,14.8,67,33,96800
"Sitka School District, AK",200240,95261,107896,NA,5,12.3,6.2,64.5,35.5,424700
"Skagway School District, AK",200690,79583,110833,NA,11,9.7,1.7,65.6,34.4,434300
"Southeast Island School District, AK",200700,57022,62169,NA,3.4,11.4,9.6,78.7,21.3,275000
"Southwest Region School District, AK",200710,53625,57115,NA,16.1,17.5,46.1,71.8,28.2,102000
"St. Marys City School District, AK",200680,43750,43077,NA,22,27.6,50.4,77.7,22.3,106900
"Tanana City School District, AK",200715,52031,91875,NA,7,37.1,13.6,46.9,53.1,66000
"Unalaska City School District, AK",200720,104706,119375,NA,3.3,16.4,5,23.2,76.8,434200
"Valdez City School District, AK",200780,89255,105969,NA,6.5,13.4,7.6,63.9,36.1,251100
"Wrangell School District, AK",200810,61000,77500,NA,3.4,16.5,13.4,65.2,34.8,273800
"Yakutat School District, AK",200840,76875,90750,NA,1.8,23.2,3.9,55.8,44.2,152100
"Yukon Flats School District, AK",200775,35521,58869,NA,15.3,17.8,40,79.3,20.7,91000
"Yukon-Koyukuk School District, AK",200862,42121,54231,NA,10.2,23.5,23.7,74.6,25.4,73900
"Yupiit School District, AK",200004,45833,56250,NA,8.1,5,60.1,67.6,32.4,NA
"Agua Fria Union High School District, AZ",400450,92979,105508,NA,5.1,8.5,8.8,71.4,28.6,400700
"Aguila Elementary District, AZ",400480,42833,NA,NA,11.6,12.1,5.1,90.3,9.7,356400
"Ajo Unified District, AZ",400520,46250,61650,NA,7.5,10.5,16.5,71,29,111700
"Alhambra Elementary District, AZ",400600,50564,55226,NA,7,22.8,28,43.7,56.3,213400
"Alpine Elementary District, AZ",400630,67411,69375,NA,18.6,0.4,0,84.8,15.2,293500
"Altar Valley Elementary District, AZ",404770,53015,67663,NA,5.6,6.7,15.1,87.9,12.1,132400
"Amphitheater Unified District, AZ",400680,64514,95968,NA,5.1,8.7,10.2,57.2,42.8,338100
"Antelope Union High School District, AZ",400720,53930,70547,NA,4.3,12.5,11,73.1,26.9,108300
"Apache Elementary District, AZ",400750,NA,85833,NA,0,13.3,20.5,93.2,6.8,160400
"Apache Junction Unified District, AZ",400790,65045,76261,NA,8,7.8,8.4,83.1,16.9,243700
"Arlington Elementary District, AZ",400840,87063,91780,NA,3.4,18.2,11.5,84.7,15.3,244400
"Ash Creek Elementary District, AZ",400870,31944,59531,NA,2.1,6.4,14.1,84.9,15.1,145300
"Ash Fork Joint Unified District, AZ",400910,50600,50950,NA,15.4,10,17.3,88.2,11.8,168000
"Avondale Elementary District, AZ",400960,73801,79744,NA,5.8,11.3,15.8,59.9,40.1,320000
"Bagdad Unified School District, AZ",401000,69276,80250,NA,0,3.1,12.3,13,87,29700
"Balsz Elementary District, AZ",401050,63110,73734,NA,3.8,17.4,11.4,23.1,76.9,336300
"Beaver Creek Elementary District, AZ",401080,57683,78266,NA,2.7,8.4,4.8,63.6,36.4,272700
"Benson Unified School District, AZ",400212,52356,67216,NA,6,9.8,16.2,73.2,26.8,184800
"Bicentennial Union High School District, AZ",401160,37395,53116,NA,15.5,14.5,11.4,74,26,94300
"Bisbee Unified District, AZ",401180,43667,72852,NA,3.7,10.3,17.1,75,25,181500
"Blue Elementary District, AZ",401230,53656,53656,NA,0,6.5,0,95.9,4.1,229400
"Blue Ridge Unified District, AZ",406580,58031,73771,NA,8.5,12.8,7.2,77.7,22.3,265600
"Bonita Elementary District, AZ",401260,142813,144750,NA,3.9,19.8,0,57.8,42.2,380800
"Bouse Elementary District, AZ",401290,45102,46535,NA,3.8,0.7,5.9,98.4,1.6,138600
"Bowie Unified District, AZ",401330,46289,46992,NA,2.4,24.3,11,69,31,72000
"Buckeye Elementary District, AZ",401380,79928,84412,NA,5.3,10.3,11,77.2,22.8,289700
"Buckeye Union High School District, AZ",401410,91790,95357,NA,4.4,9.9,8.6,83.3,16.7,327900
"Bullhead City School District, AZ",401500,46075,55013,NA,10,7.9,18.7,63.9,36.1,186600
"Camp Verde Unified District, AZ",401600,49958,67711,NA,5.2,10.7,14,74.1,25.9,260400
"Canon Elementary District, AZ",401650,48292,75592,NA,12.7,14.8,10.8,86.9,13.1,237800
"Cartwright Elementary District, AZ",401680,55717,56444,NA,6.5,26.4,21.5,55.6,44.4,218900
"Casa Grande Elementary District, AZ",401710,65364,70841,NA,7.2,11.3,13.5,70,30,214200
"Casa Grande Union High School District, AZ",401740,61645,67479,NA,7.3,12,14.3,70.7,29.3,201900
"Catalina Foothills Unified District, AZ",401760,108154,161341,NA,4.3,3.5,2.6,74.7,25.3,584700
"Cave Creek Unified District, AZ",400001,136129,156702,NA,2.5,4,1,94,6,816700
"Cedar Unified District, AZ",401810,41534,44861,NA,14,14.6,37.8,67.5,32.5,86700
"Chandler Unified District, AZ",401870,104998,121691,NA,3.6,6.7,4.3,71.5,28.5,452400
"Chevelon Butte School District, AZ",401920,80089,83071,NA,1.6,5.5,2.9,93.4,6.6,377300
"Chinle Unified District, AZ",401940,26952,32620,NA,12.7,29,38.8,78.1,21.9,39900
"Chino Valley Unified District, AZ",400003,57653,72017,NA,5.5,10.7,8.3,80.7,19.3,321200
"Clarkdale-Jerome Elementary District, AZ",400004,36759,58731,NA,0.9,10.1,6.5,84.4,15.6,297700
"Cochise Elementary District, AZ",402130,53750,59583,NA,10.4,9.5,9.8,90.2,9.8,160400
"Colorado City Unified District, AZ",400021,62279,55286,NA,7.3,31.7,21.2,64.7,35.3,217100
"Colorado River Union High School District, AZ",400082,49978,62314,NA,9.6,7.7,14.9,70.1,29.9,206600
"Concho Elementary District, AZ",402190,29916,45956,NA,1.4,9.6,14.4,94.9,5.1,80600
"Congress Elementary District, AZ",402220,65375,79800,NA,0,8,2.6,91.5,8.5,250300
"Continental Elementary District, AZ",402250,63699,86893,NA,4.2,1.7,2.6,86.2,13.8,268500
"Coolidge Unified District, AZ",402320,56422,64273,NA,16.1,14.1,24.5,70.8,29.2,170000
"Cottonwood-Oak Creek Elementary District, AZ",402370,56467,69736,NA,4.4,18.3,9.5,65.8,34.2,297800
"Crane Elementary District, AZ",402400,69199,71039,NA,7.8,11.8,16.2,68.5,31.5,217900
"Creighton Elementary District, AZ",402430,61848,68360,NA,4.6,23.2,11.3,43.3,56.7,381300
"Crown King Elementary District, AZ",402460,120438,121313,NA,0,0,0,65.7,34.3,347100
"Deer Valley Unified District, AZ",407750,99567,116425,NA,4.7,6.8,5.1,72.4,27.6,422000
"Double Adobe Elementary District, AZ",402490,37159,56563,NA,13.4,1.2,26.8,70.8,29.2,121400
"Douglas Unified District, AZ",402530,42207,50529,NA,14.3,12.1,30.9,66,34,120800
"Duncan Unified District, AZ",402600,58421,68421,NA,2.2,3.1,10,80.7,19.3,132500
"Dysart Unified District, AZ",402690,85023,90472,NA,4.9,8.1,7.4,76.6,23.4,336100
"Eagle Elementary District, AZ",402710,NA,NA,NA,0,69.6,0,100,0,NA
"Elfrida Elementary District, AZ",402760,48750,64531,NA,8.4,5,20.3,84.9,15.1,164600
"Eloy Elementary District, AZ",402790,47087,52313,NA,4.3,18.7,34.6,53.1,46.9,105600
"Empire Elementary District, AZ",402820,71250,127143,NA,4.9,6.6,11.4,88.6,11.4,262200
"Flagstaff Unified District, AZ",402860,69706,95843,NA,6,9.4,7.9,53.3,46.7,457000
"Florence Unified School District, AZ",402920,84698,88087,NA,5.5,9.4,8,82,18,295500
"Flowing Wells Unified District, AZ",403010,41766,49120,NA,8.2,15.8,18.6,65.3,34.7,93700
"Fort Huachuca Accommodation District, AZ",403150,92885,93462,NA,2.2,0.2,7.1,0,100,NA
"Fort Thomas Unified District, AZ",403200,46379,49271,NA,10.7,15.9,28.8,86,14,45600
"Fountain Hills Unified District, AZ",403040,101442,119706,NA,5.1,5.1,1.9,85.3,14.7,530400
"Fowler Elementary District, AZ",403060,61460,65230,NA,4.7,20.5,16.4,53.6,46.4,263200
"Fredonia-Moccasin Unified District, AZ",403080,58234,69844,NA,2.8,29.2,12.5,69.3,30.7,227900
"Gadsden Elementary District, AZ",403240,45882,45472,NA,10.5,21.5,38.6,61.9,38.1,170100
"Ganado Unified District, AZ",403290,26848,34032,NA,5.9,15.6,33.1,86.3,13.7,33200
"Gila Bend Unified District, AZ",403310,47279,62935,NA,2.5,32.4,22.9,63.3,36.7,117100
"Gilbert Unified District, AZ",403400,101531,116036,NA,3.5,6.2,3.9,71.6,28.4,421300
"Glendale Elementary District, AZ",403420,53327,60113,NA,6.7,17.4,21.6,47.1,52.9,240100
"Glendale Union High School District, AZ",403450,58427,69175,NA,6.8,14.8,16,50.6,49.4,281600
"Globe Unified District, AZ",403500,65675,69588,NA,2.8,8,11.1,71,29,168600
"Grand Canyon Unified District, AZ",403550,73194,100689,NA,0,26.3,4.1,18.6,81.4,37800
"Hackberry School District, AZ",403660,50781,66111,NA,3.6,2.6,15,89.2,10.8,190800
"Hayden-Winkelman Unified District, AZ",403730,38750,45972,NA,20.5,4.7,22.2,75.3,24.7,52800
"Heber-Overgaard Unified District, AZ",400026,40990,55472,NA,23.5,13.9,11.6,82.6,17.4,243700
"Higley Unified District, AZ",403780,117155,125876,NA,3.1,5.7,2.4,79.2,20.8,447600
"Hillside Elementary District, AZ",408460,NA,NA,NA,0,12,33.3,90.9,9.1,272700
"Holbrook Unified District, AZ",403820,42868,46591,NA,7.9,9.7,29.3,64.7,35.3,114400
"Humboldt Unified District, AZ",403870,66446,77107,NA,4.4,9.9,8.3,74.3,25.7,344400
"Hyder Elementary District, AZ",403900,53750,72772,NA,1,3.9,9.7,57.1,42.9,181300
"Indian Oasis-Baboquivari Unified District, AZ",403950,31343,36837,NA,17.5,10.7,40.6,63.6,36.4,73700
"Isaac Elementary District, AZ",403960,50227,53434,NA,7,27.6,20.6,48.3,51.7,199800
"J. O. Combs Unified School District, AZ",403990,91973,97185,NA,4.2,7.2,9.2,83.1,16.9,346400
"Joseph City Unified District, AZ",404010,65417,67885,NA,5.1,8.1,22.3,72.7,27.3,123100
"Kayenta Unified District, AZ",404060,31964,47202,NA,11.3,33,35.1,67.4,32.6,51200
"Kingman Unified School District, AZ",400295,50330,60464,NA,6.4,8.6,15.6,72.2,27.8,172500
"Kirkland Elementary District, AZ",404170,51786,76369,NA,0,12.2,19,89.4,10.6,222700
"Klondyke Elementary District, AZ",404200,59722,59167,NA,0,7.7,1.9,48.1,51.9,162500
"Kyrene Elementary District, AZ",404230,104868,123347,NA,3.8,6.3,2.6,65.4,34.6,446300
"Lake Havasu Unified District, AZ",404280,63762,77006,NA,5.9,8.3,6.4,74.8,25.2,357600
"Laveen Elementary District, AZ",404290,92410,95046,NA,5.2,11.9,8.8,77.4,22.6,337400
"Liberty Elementary District, AZ",404320,101358,106452,NA,3.6,9.1,6.2,89.3,10.7,366400
"Litchfield Elementary District, AZ",404380,107431,118528,NA,4.8,7,5.4,77,23,443600
"Littlefield Unified District, AZ",404410,34660,47048,NA,11.2,22.4,14.5,79.9,20.1,201500
"Littleton Elementary District, AZ",404440,87185,90876,NA,4.1,13.4,9.1,67.8,32.2,299100
"Madison Elementary District, AZ",404500,86349,124424,NA,3.2,7.7,4.5,52.2,47.8,529600
