district_name,district_geoid,median_household_income,median_family_income,labor_force_pct,unemployment_pct,uninsured_pct,snap_pct,owner_occ_pct,renter_occ_pct,median_home_value
"Bourbon County School District, KY",2100540,58290,73992,NA,4.3,2.9,10.3,69,31,217700
"Bowling Green Independent School District, KY",2100570,39993,50927,NA,5.6,6.5,20.4,37.1,62.9,190000
"Boyd County School District, KY",2100620,64530,73736,NA,5.7,4.4,13.8,77.5,22.5,150800
"Boyle County School District, KY",2100630,66810,81186,NA,5.8,6.5,7.2,83,17,194300
"Bracken County School District, KY",2100660,69497,80170,NA,4.8,4,8.9,85.3,14.7,115100
"Breathitt County School District, KY",2100690,38694,52500,NA,9,3.4,30.3,74.5,25.5,57600
"Breckinridge County School District, KY",2100720,52718,67633,NA,7.2,8.7,12.9,83.4,16.6,128600
"Bullitt County School District, KY",2100750,73900,85180,NA,4.6,3,7.8,82.6,17.4,214000
"Burgin Independent School District, KY",2100780,66786,76667,NA,4.3,7.3,4.2,89.7,10.3,191400
"Butler County School District, KY",2100810,47589,63185,NA,5.4,11.7,17.2,72.2,27.8,102200
"Caldwell County School District, KY",2100840,52488,61280,NA,4.7,11.2,15.9,73.1,26.9,103200
"Calloway County School District, KY",2100870,49685,77768,NA,5.1,7.3,9.4,68.2,31.8,169600
"Campbell County School District, KY",2100900,74962,100677,NA,3.3,3.4,2.8,81.2,18.8,215600
"Campbell County School District in Southgate ISD, KY",2121005,44143,56917,NA,5.5,8.9,15.8,49.7,50.3,189300
"Campbellsville Independent School District, KY",2100930,44527,62625,NA,10.8,4,23.5,48,52,153800
"Carlisle County School District, KY",2100960,53065,66250,NA,4.2,7.3,12.8,76.5,23.5,90100
"Carroll County School District, KY",2100990,50625,60917,NA,6.7,8.9,13.5,67.9,32.1,128100
"Carter County School District, KY",2101020,47004,60536,NA,6,9.6,20.8,79.5,20.5,122300
"Casey County School District, KY",2101050,42190,49986,NA,10.4,12.9,19,75.8,24.2,124300
"Caverna Independent School District, KY",2101110,38562,48606,NA,8.5,8.5,27.2,49,51,90000
"Christian County School District, KY",2101150,47888,60705,NA,7,9.5,14.5,55.3,44.7,141800
"Clark County School District, KY",2101200,61878,76918,NA,5.2,4.3,12.9,71.6,28.4,183200
"Clay County School District, KY",2101230,37888,43927,NA,10,5.4,32.8,74.7,25.3,73500
"Clinton County School District, KY",2101260,41180,48876,NA,5.6,6.2,22.6,72.8,27.2,90600
"Cloverport Independent School District, KY",2101290,36679,45089,NA,14.1,4.4,22.5,70.6,29.4,92300
"Corbin Independent School District, KY",2101320,55352,69457,NA,4.2,6.5,15.8,62.2,37.8,167400
"Covington Independent School District, KY",2101350,48352,63908,NA,6.7,10.1,14.7,45.5,54.5,140000
"Crittenden County School District, KY",2101380,45810,75214,NA,3.4,12,14.8,80.4,19.6,105300
"Cumberland County School District, KY",2101410,40515,56489,NA,3.8,10.3,22,75.8,24.2,126100
"Danville Independent School District, KY",2101440,47551,53803,NA,6.6,5.3,13.2,53.3,46.7,163900
"Daviess County School District, KY",2101470,72144,86468,NA,3.9,5,7.5,71.9,28.1,193800
"Dawson Springs Independent School District, KY",2101500,34615,52917,NA,11.4,3.7,23,54.6,45.4,82600
"Dayton Independent School District, KY",2101530,58900,68514,NA,4.1,5.9,14.2,61.7,38.3,121800
"East Bernstadt Independent School District, KY",2101590,40268,41250,NA,7.3,5.4,23.5,77.9,22.1,66400
"Edmonson County School District, KY",2101620,53029,66378,NA,6.8,8.3,12.2,83.2,16.8,116000
"Elizabethtown Independent School District, KY",2101650,51928,70410,NA,6,8.7,12,50.1,49.9,173400
"Elizabethtown Independent School District for West Point ISD, KY",2121003,34931,53597,NA,4.1,4.4,24.2,68.8,31.2,78000
"Elliott County School District, KY",2101680,39469,62241,NA,6,8.2,25,76.7,23.3,90400
"Eminence Independent School District, KY",2101710,52885,62625,NA,5.6,3.9,17.9,63,37,159200
"Erlanger-Elsmere Independent School District, KY",2101740,62567,75552,NA,5.4,4.2,7.1,62.6,37.4,158000
