district_key,total_rev_2122,total_exp_2122,cap_outlay_2122,debt_out_end_2122,debt_out_start_2122,debt_issued_2122,debt_retired_2122,debt_service_funds_2122,bond_funds_2122,other_funds_2122,GeoId,debt_district_only,debt_expanded
CLARK-SHAWNEE LOCAL | OHIO,27051000,27316000,4033000,1997000,3785000,0,1788000,731000,2585000,7233000,3904628,1997000,12546000
CLARKDALE-JEROME ELEMENTARY DISTRICT (4486) | ARIZONA,4857000,4525000,277000,0,0,0,0,0,0,2182000,0400004,0,2182000
CLARKE COMM SCHOOL DISTRICT | IOWA,22735000,19858000,1288000,10875000,11563000,0,688000,53000,0,5327000,1907410,10875000,16255000
CLARKE COUNTY | GEORGIA,274700000,243398000,13561000,75000000,13150000,75000000,12500000,0,124930000,64434000,1301170,75000000,264364000
CLARKE COUNTY | ALABAMA,40349000,39593000,8029000,20596000,21743000,0,1147000,168000,190000,3720000,0100720,20596000,24674000
CLARKE COUNTY PUBLIC SCHOOLS | VIRGINIA,28661000,26772000,633000,17478000,18983000,0,1504000,0,0,0,5100870,17478000,17478000
CLARKE COUNTY SCHOOL DISTRICT | MISSISSIPPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803150,NA,0
CLARKS PUBLIC SCHOOLS | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3105160,NA,0
CLARKSBURG | MASSACHUSETTS,2883000,4359000,9000,0,0,0,0,0,0,0,2503720,0,0
CLARKSBURG C-2 | MISSOURI,1445000,1473000,77000,250000,285000,0,35000,185000,0,2015000,2909090,250000,2450000
CLARKSDALE COLLEGIATE DISTRICT | MISSISSIPPI,4830000,5083000,625000,0,0,0,0,0,0,0,2800194,0,0
CLARKSDALE MUNICIPAL SCHOOL DIST | MISSISSIPPI,34003000,31964000,5986000,7275000,7585000,0,310000,2387000,35000,4719000,2801050,7275000,14416000
CLARKSON PUBLIC SCHOOLS | NEBRASKA,4205000,4415000,113000,0,0,0,0,0,399000,1177000,3105160,0,1576000
CLARKSTON COMMUNITY SCHOOL DISTRICT | MICHIGAN,134104000,124045000,4988000,153060000,153695000,68718000,17853000,204000,514000,19202000,2609900,153060000,172980000
CLARKSTON SCHOOL DISTRICT | WASHINGTON,41700000,41679000,3250000,1523000,1575000,0,52000,1106000,468000,4256000,5301320,1523000,7353000
CLARKSTOWN CENTRAL SCHOOL DISTRICT | NEW YORK,239881000,225362000,1765000,33210000,39435000,0,6225000,0,1087000,52239000,3620340,33210000,86536000
CLARKSVILLE CHARTER DISTRICT | CALIFORNIA,17615000,17131000,141000,0,0,0,0,0,0,0,0601975,0,0
CLARKSVILLE COMM SCHOOL DISTRICT | IOWA,5083000,4670000,514000,0,0,0,0,0,0,2601000,1907440,0,2601000
CLARKSVILLE COMMUNITY SCHOOL CORP | INDIANA,39430000,32443000,5205000,11815000,7480000,5540000,1205000,832000,6404000,8988000,1801920,11815000,28039000
CLARKSVILLE ISD | TEXAS,9727000,10253000,1480000,15990000,0,15990000,0,274000,16071000,5206000,4814190,15990000,37541000
CLARKSVILLE SCHOOL DISTRICT | ARKANSAS,35149000,33516000,2297000,25887000,25995000,6868000,6976000,59000,3878000,4406000,0504380,25887000,34230000
CLARKSVILLE SCHOOL DISTRICT | NEW HAMPSHIRE,585000,1062000,0,0,0,0,0,0,0,84000,3302370,0,84000
CLARKTON C-4 | MISSOURI,4702000,4576000,453000,1255000,1345000,775000,865000,55000,0,3303000,2909120,1255000,4613000
CLASSICAL ACADEMY CHARTER SCHOOL OF CLIFTON | NEW JERSEY,2560000,2707000,0,0,0,0,0,0,0,1689000,3400052,0,1689000
CLASSICAL ACADEMY DISTRICT | CALIFORNIA,16984000,15948000,0,0,0,0,0,0,0,0,0601560,0,0
CLASSICAL ACADEMY HIGH DISTRICT | CALIFORNIA,15923000,15919000,0,0,0,0,0,0,0,0,0601763,0,0
CLASSICAL ACADEMY VISTA DISTRICT | CALIFORNIA,6848000,7306000,3000,0,0,0,0,0,0,0,0601473,0,0
CLASSICAL CHARTER SCHOOLS OF LELAND | NORTH CAROLINA,11119000,11274000,86000,0,0,0,0,0,0,1320000,3700102,0,1320000
CLASSICAL CHARTER SCHOOLS OF SOUTHPORT | NORTH CAROLINA,5675000,5854000,0,0,0,0,0,0,0,391000,3700378,0,391000
CLASSICAL CHARTER SCHOOLS OF WHITEVILLE | NORTH CAROLINA,9972000,10395000,166000,0,0,0,0,0,0,643000,3700140,0,643000
CLASSICAL CHARTER SCHOOLS OF WILMINGTON | NORTH CAROLINA,1700000,1891000,0,0,0,0,0,0,0,89000,3700340,0,89000
CLATSKANIE SD 6J | OREGON,14184000,14299000,2240000,9645000,0,10000000,355000,0,11007000,3532000,4103260,9645000,24184000
CLATSOP ESD | OREGON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4180505,NA,0
CLAUDE ISD | TEXAS,5064000,4000000,0,975000,1085000,0,110000,368000,0,3407000,4814250,975000,4750000
CLAWSON PUBLIC SCHOOLS | MICHIGAN,26755000,25081000,2017000,65729000,12337000,56016000,3264000,224000,54451000,2718000,2609930,65729000,123122000
CLAY | FLORIDA,434895000,413806000,22634000,27129000,31459000,460000,4790000,5143000,0,139316000,1200300,27129000,171588000
CLAY AVENUE COMMUNITY SCHOOL | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901363,NA,0
CLAY CENTER PUBLIC SCHOOLS | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3104920,NA,0
CLAY CENTRAL-EVERLY COMM SCHOOL DISTRICT | IOWA,4799000,4088000,289000,0,0,0,0,0,0,3914000,1907470,0,3914000
CLAY CITY CUSD 10 | ILLINOIS,4961000,4098000,271000,107000,390000,0,284000,114000,0,3534000,1710340,107000,3755000
CLAY CO SCHOOL DIST | MISSISSIPPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802490,NA,0
CLAY COMMUNITY SCHOOLS | INDIANA,55719000,54975000,5595000,25510000,26620000,0,1110000,670000,0,20312000,1800840,25510000,46492000
CLAY COUNTY | GEORGIA,5855000,6095000,60000,0,0,0,0,0,310000,2420000,1301200,0,2730000
CLAY COUNTY | TENNESSEE,14789000,12892000,788000,4331000,3770000,0,330000,0,0,0,4700660,4331000,4331000
CLAY COUNTY | ALABAMA,23509000,21410000,417000,2378000,3050000,0,672000,195000,1551000,4122000,0100750,2378000,8246000
CLAY COUNTY | KENTUCKY,49149000,46384000,6047000,19880000,21677000,0,1797000,0,1095000,35353000,2101230,19880000,56328000
CLAY COUNTY | KANSAS,24710000,23540000,1256000,6555000,6815000,0,260000,1203000,0,6098000,2004890,6555000,13856000
CLAY COUNTY SCHOOLS | NORTH CAROLINA,19787000,19127000,595000,2723000,2950000,0,227000,0,0,1835000,3700870,2723000,4558000
CLAY COUNTY SCHOOLS | WEST VIRGINIA,26603000,25963000,2762000,0,0,0,0,0,0,1770000,5400240,0,1770000
CLAY JOINT ELEMENTARY | CALIFORNIA,7134000,4332000,1477000,0,0,0,0,0,0,5673000,0608850,0,5673000
CLAY LOCAL | OHIO,8958000,8949000,506000,3305000,3679000,0,374000,901000,70000,2734000,3910026,3305000,7010000
CLAY/CWFORD/JSPER/LWRNCE/RHLAN | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700173,NA,0
CLAY/CWFORD/JSPER/LWRNCE/RHLAND | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700173,NA,0
CLAY/JASPER/RICHLAND/N WAYNE RDS | ILLINOIS,549000,550000,0,0,0,0,0,0,0,16000,1700244,0,16000
CLAYMONT CITY | OHIO,27473000,28107000,4450000,6935000,7485000,0,550000,27000,496000,7078000,3904377,6935000,14536000
CLAYSBURG-KIMMEL SD | PENNSYLVANIA,15541000,15146000,438000,11045000,11860000,0,815000,0,2690000,4926000,4206120,11045000,18661000
CLAYTON | MISSOURI,73120000,59935000,4323000,49082000,55802000,0,6720000,5823000,0,36135000,2909720,49082000,91040000
CLAYTON | NEW MEXICO,8114000,7290000,435000,6135000,6385000,200000,450000,183000,1299000,1315000,3500510,6135000,8932000
CLAYTON | OKLAHOMA,4210000,4277000,330000,0,0,0,0,0,0,0,4007800,0,0
CLAYTON COUNTY | GEORGIA,741889000,694144000,58194000,0,0,0,0,0,10581000,155294000,1301230,0,165875000
CLAYTON PUBLIC SCHOOL DISTRICT | NEW JERSEY,37634000,35684000,696000,0,0,0,0,2000,0,5061000,3403180,0,5063000
CLAYTON RIDGE COMM SCHOOL DISTRICT | IOWA,15067000,15007000,1693000,2813000,2645000,813000,644000,0,0,2576000,1913350,2813000,5389000
CLAYTON SCHOOL DISTRICT | WISCONSIN,6064000,6177000,43000,0,27000,0,27000,0,0,1479000,5502580,0,1479000
CLAYTON VALLEY CHARTER HIGH DISTRICT | CALIFORNIA,30069000,29525000,0,0,0,0,0,0,0,0,0602342,0,0
CLE ELUM-ROSLYN SCHOOL DISTRICT | WASHINGTON,17876000,16426000,1299000,0,0,0,0,19000,5203000,2886000,5301350,0,8108000
CLEAR CREEK AMANA COMM SCHOOL DISTRICT | IOWA,52378000,47421000,5984000,102020000,100537000,14225000,12742000,3460000,15100000,7353000,1907590,102020000,127933000
CLEAR CREEK ELEMENTARY | CALIFORNIA,2429000,2158000,14000,0,0,0,0,0,0,1702000,0608880,0,1702000
CLEAR CREEK ISD | TEXAS,497674000,497315000,40531000,982760000,1032420000,0,49660000,28707000,85879000,116732000,4814280,982760000,1214078000
CLEAR CREEK PUBLIC SCHOOL | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3103540,NA,0
CLEAR CREEK SCHOOL DISTRICT NO. RE-1 | COLORADO,18810000,17021000,3051000,36090000,4060000,33000000,970000,1901000,39714000,15890000,0803000,36090000,93595000
CLEAR FORK VALLEY LOCAL | OHIO,22592000,19886000,393000,10465000,11334000,0,869000,1419000,4087000,6703000,3904941,10465000,22674000
CLEAR LAKE COMM SCHOOL DISTRICT | IOWA,22811000,28355000,9678000,19000000,20547000,0,1547000,11000,867000,10562000,1907620,19000000,30440000
CLEAR LAKE SCHOOL DISTRICT | WISCONSIN,11016000,10619000,1686000,9161000,10594000,0,1433000,117000,0,2329000,5502610,9161000,11607000
CLEAR PASSAGE EDUCATIONAL CENTER DISTRICT | CALIFORNIA,760000,745000,41000,0,0,0,0,0,0,0,0601593,0,0
CLEARBROOK-GONVICK SCHOOL DISTRICT | MINNESOTA,8962000,8378000,380000,1978000,2748000,0,770000,688000,0,3460000,2700103,1978000,6126000
CLEARFIELD AREA SD | PENNSYLVANIA,46323000,42718000,782000,39954000,41905000,8084000,10035000,0,1413000,16082000,4206150,39954000,57449000
CLEARFIELD COMM SCHOOL DISTRICT | IOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906270,NA,0
CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER | PENNSYLVANIA,6697000,7166000,1768000,2434000,3010000,0,576000,0,0,1111000,4280160,2434000,3545000
CLEARVIEW LOCAL | OHIO,23607000,25673000,5192000,1428000,2171000,0,742000,327000,4280000,10644000,3904813,1428000,16679000
CLEARVIEW REGIONAL HIGH SCHOOL DISTRICT | NEW JERSEY,50561000,45773000,404000,0,0,0,0,0,146000,16926000,3403210,0,17072000
CLEARWATER | KANSAS,17416000,15692000,1016000,18095000,19535000,0,1440000,2634000,0,3864000,2004920,18095000,24593000
CLEARWATER PUBLIC SCHOOLS | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3105520,NA,0
CLEARWATER R-I | MISSOURI,11005000,10896000,1212000,3929000,4285000,0,356000,240000,0,3295000,2909750,3929000,7464000
CLEBURNE COUNTY | ALABAMA,33398000,31684000,2354000,2165000,3002000,0,837000,70000,38000,8718000,0100780,2165000,10991000
CLEBURNE ISD | TEXAS,105322000,110413000,25827000,175669000,120269000,63600000,8200000,13079000,64938000,31957000,4814310,175669000,285643000
CLEMENTE CHARTER DISTRICT | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0602339,NA,0
CLEMENTON ELEMENTARY SCHOOL DISTRICT | NEW JERSEY,16394000,15510000,3000,0,0,0,0,0,0,4638000,3403240,0,4638000
CLEORA | OKLAHOMA,3431000,2513000,132000,0,0,0,450000,230000,0,5055000,4008010,0,5285000
CLERMONT COUNTY ESC | OHIO,18583000,18095000,24000,0,0,0,0,0,0,11037000,3904629,0,11037000
CLERMONT NORTHEASTERN LOCAL | OHIO,23804000,21067000,236000,0,655000,0,655000,0,1129000,8948000,3904632,0,10077000
CLEVELAND | OKLAHOMA,18868000,16618000,354000,1300000,0,2545000,1245000,1425000,2514000,4859000,4008040,1300000,10098000
CLEVELAND | TENNESSEE,69996000,67639000,3557000,25943000,25943000,0,4565000,0,0,0,4700690,25943000,25943000
CLEVELAND ACADEMY FOR SCHOLARSHIP TECHNOLOGY AND LEADERSHIP | OHIO,5094000,4234000,0,0,0,0,0,0,0,1339000,3900286,0,1339000
CLEVELAND ARTS AND SOCIAL SCIENCES ACADEMY | OHIO,4317000,3854000,108000,0,0,0,0,0,0,1032000,3900584,0,1032000
CLEVELAND COLLEGE PREPARATORY SCHOOL | OHIO,3716000,2959000,50000,0,0,0,0,0,0,1428000,3901397,0,1428000
CLEVELAND COMMUNITY SCHOOL | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1802220,NA,0
CLEVELAND COUNTY COMMUNITY IN-SCHOOLS | NORTH CAROLINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700174,NA,0
CLEVELAND COUNTY SCHOOL DISTRICT | ARKANSAS,12303000,12386000,1180000,5212000,4838000,374000,0,0,872000,1632000,0500067,5212000,7716000
CLEVELAND COUNTY SCHOOLS | NORTH CAROLINA,185957000,179688000,6562000,8643000,10140000,0,1497000,0,0,38455000,3700900,8643000,47098000
CLEVELAND ELEM | MONTANA,177000,184000,7000,0,0,0,0,0,19000,22000,3004050,0,41000
CLEVELAND HEIGHTS-UNIVERSITY HEIGHTS CITY | OHIO,145609000,121475000,4460000,124461000,126435000,0,1974000,900000,9127000,36612000,3904379,124461000,171100000
CLEVELAND HILL UNION FREE SCHOOL DISTRICT | NEW YORK,37165000,34057000,354000,7765000,8700000,0,935000,494000,2766000,16557000,3607680,7765000,27582000
CLEVELAND ISD | TEXAS,154277000,239668000,109910000,305905000,307550000,0,1645000,15101000,51435000,55049000,4814370,305905000,427490000
CLEVELAND MUNICIPAL | OHIO,906997000,850666000,34953000,251175000,257900000,0,6725000,14036000,0,33433000,3904378,251175000,298644000
CLEVELAND PREPARATORY ACADEMY | OHIO,2087000,2097000,28000,0,0,0,0,0,0,57000,3901496,0,57000
CLEVELAND PUBLIC SCHOOL DISTRICT | MINNESOTA,8929000,8948000,755000,17922000,18559000,0,637000,842000,0,2098000,2709330,17922000,20862000
CLEVELAND SCHOOL DIST | MISSISSIPPI,42074000,35984000,3151000,6741000,6741000,0,0,4878000,0,19308000,2800750,6741000,30927000
CLEVER R-V | MISSOURI,15013000,12967000,331000,3340000,4460000,2475000,3595000,446000,0,4919000,2909780,3340000,8705000
CLIFF PARK HIGH SCHOOL | OHIO,3689000,3015000,35000,0,0,0,0,0,0,2642000,3900100,0,2642000
CLIFFSIDE PARK SCHOOL DISTRICT | NEW JERSEY,73209000,69424000,1580000,0,0,0,0,0,0,14060000,3403270,0,14060000
CLIFTON ISD | TEXAS,15925000,13787000,593000,21225000,22120000,0,895000,2522000,0,6795000,4814400,21225000,30542000
CLIFTON PUBLIC SCHOOL DISTRICT | NEW JERSEY,272437000,278931000,10186000,0,0,0,0,0,157767000,28825000,3403300,0,186592000
CLIFTON-CLYDE | KANSAS,4986000,5517000,103000,0,0,0,0,0,0,830000,2004950,0,830000
CLIFTON-FINE CENTRAL SCHOOL DISTRICT | NEW YORK,12048000,10121000,726000,1262000,1647000,0,385000,490000,1093000,5981000,3607710,1262000,8826000
CLIMAX SPRINGS R-IV | MISSOURI,4312000,3729000,546000,0,0,0,0,0,0,4151000,2909810,0,4151000
CLIMAX-SCOTTS COMMUNITY SCHOOLS | MICHIGAN,9692000,8860000,585000,10554000,15614000,30000,523000,384000,19000,1242000,2610020,10554000,12199000
CLIMAX-SHELLY PUBLIC SCHOOLS | MINNESOTA,3562000,3800000,407000,2445000,2667000,0,222000,68000,0,2800000,2709360,2445000,5313000
CLINCH COUNTY | GEORGIA,22156000,20430000,2541000,0,0,0,0,0,9878000,5181000,1301260,0,15059000
CLINT ISD | TEXAS,166499000,153705000,9749000,146418000,153115000,0,6697000,0,0,79435000,4814430,146418000,225853000
CLINTN/JEFFRSN/MARIN/WASHNGTN ROE | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700174,NA,0
CLINTON | OKLAHOMA,30352000,27104000,491000,0,0,64000,1688000,36000,64000,7590000,4008070,0,7690000
CLINTON | MASSACHUSETTS,37237000,40620000,371000,2016000,2415000,0,400000,0,0,0,2503750,2016000,2016000
CLINTON | MISSOURI,25669000,26438000,4497000,21143000,22154000,0,1011000,1447000,0,4501000,2909860,21143000,27091000
CLINTON | TENNESSEE,13310000,13377000,2390000,1085000,1085000,936000,501000,0,0,0,4700720,1085000,1085000
CLINTON CENTRAL SCHOOL CORPORATION | INDIANA,14554000,12642000,1151000,4738000,5344000,0,607000,799000,129000,3956000,1802130,4738000,9622000
CLINTON CENTRAL SCHOOL DISTRICT | NEW YORK,32932000,28790000,714000,15965000,17540000,0,1575000,178000,952000,13747000,3607770,15965000,30842000
CLINTON CITY SCHOOLS | NORTH CAROLINA,38567000,36708000,585000,0,0,0,0,0,0,8656000,3700930,0,8656000
CLINTON CO. R-III | MISSOURI,10333000,10210000,1374000,11065000,11065000,0,0,2404000,0,2374000,2925290,11065000,15843000
CLINTON COMM SCHOOL DISTRICT | IOWA,61191000,69361000,19505000,55502000,59121000,0,3618000,297000,20232000,22957000,1907710,55502000,98988000
CLINTON COMMUNITY SCHOOL DISTRICT | WISCONSIN,20205000,37177000,20772000,31305000,23325000,9300000,1320000,602000,10736000,11214000,5502640,31305000,53857000
CLINTON COMMUNITY SCHOOLS | MICHIGAN,43401000,16427000,1640000,22780000,965000,0,531000,1406000,25181000,6168000,2610050,22780000,55535000
CLINTON COUNTY | KENTUCKY,26037000,23649000,1130000,7879000,8739000,0,859000,0,157000,6255000,2101260,7879000,14291000
CLINTON COUNTY RESA | MICHIGAN,37000000,34191000,189000,0,0,0,71000,0,2795000,13294000,2680320,0,16089000
CLINTON CUSD 15 | ILLINOIS,33276000,28725000,1603000,11615000,13281000,87000,1754000,25000,1000,32825000,1710440,11615000,44466000
CLINTON ELEM | MONTANA,3763000,3519000,136000,3820000,3975000,0,155000,8000,227000,868000,3006870,3820000,4923000
CLINTON PRAIRIE SCHOOL CORPORATION | INDIANA,16335000,15361000,2259000,8930000,9697000,0,767000,303000,0,6745000,1802160,8930000,15978000
CLINTON PUBLIC SCHOOL | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3102910,NA,0
CLINTON PUBLIC SCHOOL DIST | MISSISSIPPI,56919000,56420000,9043000,42817000,44990000,5756000,7929000,7874000,0,14720000,2801090,42817000,65411000
CLINTON SCHOOL DISTRICT | ARKANSAS,18060000,16873000,679000,18246000,17455000,791000,0,0,4744000,2996000,0504410,18246000,25986000
CLINTON SCHOOL DISTRICT | CONNECTICUT,44405000,42174000,234000,32494000,34675000,0,2181000,0,0,0,0900810,32494000,32494000
CLINTON TOWNSHIP SCHOOL DISTRICT | NEW JERSEY,38401000,35552000,595000,0,0,0,0,161000,0,7311000,3403360,0,7472000
CLINTON-ESSEX-WARREN-WASHINGTON BOCES | NEW YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3680220,NA,0
CLINTON-GLEN GARDNER SCHOOL DISTRICT | NEW JERSEY,12629000,11902000,277000,0,0,985000,0,0,841000,3583000,3403330,0,4424000
CLINTON-GRACEVILLE-BEARDSLEY | MINNESOTA,5724000,6542000,1151000,2437000,1000,2436000,0,74000,0,4410000,2700150,2437000,6921000
CLINTON-MASSIE LOCAL | OHIO,23501000,22051000,1790000,3975000,4530000,0,555000,519000,169000,4696000,3904639,3975000,9359000
CLINTONDALE COMMUNITY SCHOOLS | MICHIGAN,40227000,36117000,1579000,33044000,47324000,6856000,10525000,275000,0,3941000,2610080,33044000,37260000
CLINTONVILLE SCHOOL DISTRICT | WISCONSIN,24834000,40392000,19538000,25765000,19015000,9000000,2250000,192000,9508000,3495000,5502670,25765000,38960000
CLIO AREA SCHOOL DISTRICT | MICHIGAN,41565000,48337000,15471000,38334000,20031000,19853000,1708000,661000,27568000,11646000,2610110,38334000,78209000
CLK/CLS/CMBN/DGLAS/EDGR/MLTR/SHLB | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700175,NA,0
CLOQUET PUBLIC SCHOOL DISTRICT | MINNESOTA,46348000,45905000,3049000,56043000,59375000,0,3332000,3308000,0,12269000,2709420,56043000,71620000
CLOSTER PUBLIC SCHOOL DISTRICT | NEW JERSEY,30347000,28769000,1075000,0,0,0,0,0,0,8934000,3403390,0,8934000
CLOUDCROFT | NEW MEXICO,8799000,9254000,2003000,7340000,6210000,2000000,870000,1515000,3410000,1139000,3500540,7340000,13404000
CLOVER GARDEN | NORTH CAROLINA,6475000,7894000,1205000,0,0,0,0,0,0,2246000,3700116,0,2246000
CLOVER PARK SCHOOL DISTRICT | WASHINGTON,244199000,239373000,6380000,107405000,117025000,14955000,24575000,22756000,66042000,37098000,5301410,107405000,233301000
CLOVER PARK TECHNICAL COLLEGE | WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5300017,NA,0
CLOVERDALE COMMUNITY SCHOOLS | INDIANA,18259000,17712000,3174000,7844000,8639000,0,795000,865000,95000,6710000,1802220,7844000,15514000
CLOVERDALE UNIFIED | CALIFORNIA,24211000,37368000,15276000,63460000,65275000,117000,1932000,4711000,6987000,7101000,0608970,63460000,82259000
CLOVERLEAF LOCAL | OHIO,46146000,46314000,10331000,61090000,64545000,0,3455000,0,43199000,34126000,3904848,61090000,138415000
CLOVERPORT INDEPENDENT | KENTUCKY,5697000,4728000,201000,3900000,4704000,0,804000,0,10000,1328000,2101290,3900000,5238000
CLOVIS | NEW MEXICO,102247000,102141000,11209000,49160000,41335000,10915000,3090000,4839000,17576000,20229000,3500570,49160000,91804000
CLOVIS GLOBAL ACADEMY DISTRICT | CALIFORNIA,2431000,2241000,0,0,0,0,0,0,0,0,0602548,0,0
CLOVIS UNIFIED | CALIFORNIA,728842000,643221000,34701000,589137000,479996000,238987000,129846000,54589000,33140000,440822000,0609030,589137000,1117688000
CLYDE CISD | TEXAS,20104000,18340000,499000,17765000,18655000,0,890000,1673000,0,8029000,4814450,17765000,27467000
CLYDE-GREEN SPRINGS EXEMPTED VILLAGE | OHIO,31389000,30814000,1864000,17145000,18430000,0,1285000,221000,1185000,10543000,3910020,17145000,29094000
CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT | NEW YORK,30140000,25553000,2067000,22840000,24510000,0,1670000,704000,348000,7980000,3607860,22840000,31872000
CLYMER CENTRAL SCHOOL DISTRICT | NEW YORK,12888000,11479000,1151000,1290000,2185000,0,895000,0,3578000,3083000,3607890,1290000,7951000
CMHI PUEBLO | COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0800287,NA,0
COACHELLA VALLEY UNIFIED | CALIFORNIA,370285000,329962000,9992000,307043000,319403000,0,12360000,22181000,34828000,122080000,0609070,307043000,486132000
COAHOMA COUNTY SCHOOL DISTRICT | MISSISSIPPI,19609000,16526000,1148000,4037000,4303000,9000,275000,185000,0,18111000,2801110,4037000,22333000
COAHOMA ISD | TEXAS,15898000,15312000,1212000,11595000,13015000,0,1420000,1641000,0,9916000,4814490,11595000,23152000
COAL CITY CUSD 1 | ILLINOIS,40232000,33321000,175000,25580000,27910000,0,2330000,1000,1668000,21316000,1710530,25580000,48565000
COALGATE | OKLAHOMA,11440000,10268000,157000,0,0,0,0,0,0,3563000,4008130,0,3563000
COALINGA-HURON UNIFIED | CALIFORNIA,103486000,74162000,3713000,56509000,64014000,0,7505000,5668000,2537000,54160000,0609120,56509000,118874000
COARSEGOLD UNION ELEMENTARY | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0607980,NA,0
COAST UNIFIED | CALIFORNIA,17453000,16662000,995000,6690000,7920000,0,1230000,4477000,0,5347000,0600049,6690000,16514000
COAST UNION HIGH | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0641430,NA,0
COASTAL ACADEMY CHARTER DISTRICT | CALIFORNIA,19203000,19110000,205000,0,0,0,0,0,0,0,0602258,0,0
COASTAL GROVE CHARTER DISTRICT | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0602168,NA,0
COASTAL PLAINS RESA | GEORGIA,6250000,6060000,0,0,0,0,0,0,0,728000,1300020,0,728000
COASTLINE ROP | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0600123,NA,0
COASTLINE ROP | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0600123,NA,0
COASTLINE ROP JPA | CALIFORNIA,11080000,6742000,161000,0,0,0,0,0,0,9583000,0601357,0,9583000
COATESVILLE AREA SD | PENNSYLVANIA,199565000,181875000,4781000,182205000,182673000,1869000,2337000,0,18329000,27273000,4206240,182205000,227807000
COBB COUNTY | GEORGIA,1692053000,1562889000,140080000,0,0,0,0,0,224930000,438849000,1301290,0,663779000
COBDEN SUD 17 | ILLINOIS,8835000,8373000,846000,7518000,1265000,7338000,1085000,76000,3875000,6166000,1710570,7518000,17635000
COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT | NEW YORK,49522000,43209000,3332000,3995000,5275000,0,1280000,154000,10223000,18265000,3600010,3995000,32637000
COBRE | NEW MEXICO,21428000,19922000,551000,6520000,8010000,0,1490000,1826000,1535000,602000,3500600,6520000,10483000
COBRE VALLEY INSTITUTE OF TECHNOLOGY DISTRICT (79391) | ARIZONA,1729000,949000,82000,0,0,0,0,0,0,0,0400316,0,0
COCALICO SD | PENNSYLVANIA,66146000,76197000,15239000,14907000,913000,14438000,443000,0,18337000,27804000,4206270,14907000,61048000
COCHISE COMMUNITY DEVELOPMENT CORPORATION (81027) | ARIZONA,5786000,4878000,639000,0,0,0,0,0,0,0,0400632,0,0
COCHISE COUNTY ACCOMMODATION SCHOOL DISTRICT (1001687) | ARIZONA,2383000,2166000,0,0,0,0,0,0,0,0,0401015,0,0
COCHISE COUNTY JUVENILE DETENTION (79462) | ARIZONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0400457,NA,0
COCHISE COUNTY SCHOOL SUPERINTENDENT (79188) | ARIZONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0400973,NA,0
COCHISE COUNTY SHERIFF'S OFFICE (79546) | ARIZONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0400984,NA,0
COCHISE ELEMENTARY DISTRICT (4177) | ARIZONA,2314000,2151000,253000,0,0,0,0,0,0,0,0402130,0,0
COCHISE TECHNOLOGY DISTRICT (79403) | ARIZONA,4694000,868000,56000,0,0,0,0,0,0,0,0400345,0,0
COCHRAN PUBLIC SCHOOL | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3171370,NA,0
COCHRANE-FOUNTAIN CITY SCHOOL DISTRICT | WISCONSIN,10850000,8865000,278000,3977000,5115000,0,1138000,0,0,3915000,5502700,3977000,7892000
