district_key,total_rev_2122,total_exp_2122,cap_outlay_2122,debt_out_end_2122,debt_out_start_2122,debt_issued_2122,debt_retired_2122,debt_service_funds_2122,bond_funds_2122,other_funds_2122,GeoId,debt_district_only,debt_expanded
ABLE CHARTER DISTRICT | CALIFORNIA,15828000,14507000,23000,0,0,0,0,0,0,0,0601628,0,0
ABQ SCHOOL OF EXCELLENCE | NEW MEXICO,10987000,11786000,1805000,0,0,0,0,0,2280000,1419000,3500122,0,3699000
ABQ SIGN LANGUAGE ACADEMY | NEW MEXICO,4402000,4586000,409000,0,0,0,0,0,505000,1875000,3500123,0,2380000
ABSAROKEE ELEM | MONTANA,2366000,2089000,62000,8000,8000,0,0,0,59000,1589000,3001710,8000,1656000
ABSAROKEE H S | MONTANA,2120000,1607000,59000,8000,8000,0,0,0,63000,2410000,3001740,8000,2481000
ABSECON PUBLIC SCHOOLS DISTRICT | NEW JERSEY,25906000,24172000,561000,0,0,0,0,0,0,5797000,3400660,0,5797000
ACADEMIA ANTONIA ALONSO | DELAWARE,12033000,12472000,2079000,0,0,0,88000,0,0,0,1000053,0,0
ACADEMIA AVANCE CHARTER DISTRICT | CALIFORNIA,7198000,7344000,103000,0,0,0,0,0,0,0,0602291,0,0
ACADEMIA CESAR CHAVEZ CHARTER SCH. | MINNESOTA,9477000,8297000,1019000,0,2000,0,2000,0,0,1960000,2700185,0,1960000
ACADEMIA MODERNA DISTRICT | CALIFORNIA,6638000,6256000,0,0,0,0,0,0,0,4337000,0602361,0,4337000
ACADEMIC AND CAREER EDUCATION ACADEMY | MICHIGAN,1173000,1085000,0,0,0,1000,0,0,0,241000,2600330,0,241000
ACADEMIC ARTS HIGH SCHOOL | MINNESOTA,2226000,2187000,257000,0,0,0,0,0,0,269000,2700361,0,269000
ACADEMIC LEADERSHIP CHARTER SCHOOL | NEW YORK,0,5125000,0,0,0,0,0,0,0,0,3601001,0,0
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS | ARKANSAS,17648000,18205000,722000,0,0,0,0,0,2221000,2361000,0500059,0,4582000
ACADEMIE LAFAYETTE | MISSOURI,15693000,15342000,390000,0,0,0,0,0,0,5142000,2900017,0,5142000
ACADEMY CHARTER HIGH SCHOOL | NEW JERSEY,5169000,4950000,15000,0,0,0,0,0,0,843000,3400048,0,843000
ACADEMY CHARTER SCHOOL | NEW YORK,0,43987000,0,0,0,0,0,0,0,0,3600997,0,0
ACADEMY CHARTER SCHOOL-UNIONDALE | NEW YORK,0,24478000,0,0,0,0,0,0,0,0,3601169,0,0
ACADEMY DEL SOL INC. (90199) | ARIZONA,7661000,6871000,0,0,0,0,0,0,0,0,0400797,0,0
ACADEMY FOR ACADEMIC EXCELLENCE | TEXAS,8090000,8107000,0,0,0,0,0,0,0,1961000,4800093,0,1961000
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT | CALIFORNIA,19775000,15898000,307000,0,0,0,0,0,0,0,0601911,0,0
ACADEMY FOR BUSINESS AND TECHNOLOGY | MICHIGAN,8273000,7405000,148000,0,0,0,588000,0,0,883000,2600166,0,883000
ACADEMY FOR INTEGRATED ARTS | MISSOURI,4233000,4200000,0,0,0,0,0,0,0,1123000,2900604,0,1123000
ACADEMY FOR MATH ENGINEERING & SCIENCE | UTAH,4864000,4717000,170000,0,0,0,0,0,0,3494000,4900017,0,3494000
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL | NEW HAMPSHIRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300040,NA,0
ACADEMY FOR TECHNOLOGY AND ENTERPRISE | MICHIGAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600166,NA,0
ACADEMY FOR THE DEAF | MINNESOTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700157,NA,0
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL | NEW JERSEY,11644000,12578000,2095000,0,0,0,0,0,0,4408000,3400741,0,4408000
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN | OHIO,3785000,3558000,20000,0,0,0,0,0,0,1197000,3901472,0,1197000
ACADEMY ISD | TEXAS,21128000,24768000,5460000,59545000,60940000,0,1395000,2222000,0,48065000,4807470,59545000,109832000
ACADEMY OF ACCELERATED LEARNING INC | TEXAS,11404000,9219000,0,0,0,0,0,0,0,9792000,4800032,0,9792000
ACADEMY OF AUSTIN | TEXAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800090,NA,0
ACADEMY OF BUILDING INDUSTRIES INC. (85540) | ARIZONA,1642000,1277000,31000,0,0,0,0,0,0,417000,0400414,0,417000
ACADEMY OF BUSINESS & TECH | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600166,NA,0
ACADEMY OF DALLAS | TEXAS,4331000,4145000,0,0,0,0,0,0,0,120000,4800090,0,120000
ACADEMY OF DOVER CHARTER SCHOOL | DELAWARE,6830000,5970000,16000,0,0,0,0,0,0,0,1000017,0,0
ACADEMY OF FLINT | MICHIGAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600308,NA,0
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL | NEW YORK,0,3931000,0,0,0,0,0,0,0,0,3601190,0,0
ACADEMY OF HOPE ADULT PCS | DISTRICT OF COLUMBIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100094,NA,0
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961) | ARIZONA,12124000,10188000,915000,0,0,0,0,0,963000,0,0400368,0,963000
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768) | ARIZONA,13092000,10728000,1394000,0,0,0,0,0,801000,0,0400940,0,801000
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878) | ARIZONA,71607000,59679000,6638000,0,0,0,0,0,13049000,0,0400891,0,13049000
ACADEMY OF MEDIA ARTS DISTRICT | CALIFORNIA,1880000,1552000,0,0,0,0,0,0,0,89000,0602361,0,89000
ACADEMY OF SEMINOLE (CHARTER) | OKLAHOMA,3315000,2579000,9000,0,0,0,0,0,0,0,4000803,0,0
ACADEMY OF THE CITY CHARTER SCHOOL | NEW YORK,0,17074000,0,0,0,0,0,0,0,0,3601053,0,0
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT) | MASSACHUSETTS,13545000,13681000,73000,0,0,0,0,0,0,0,2500021,0,0
ACADEMY OF TUCSON INC. (78897) | ARIZONA,7742000,6122000,257000,0,0,0,0,0,0,0,0400202,0,0
ACADEMY OF WARREN | MICHIGAN,9797000,14713000,5108000,0,0,0,229000,1044000,646000,997000,2600308,0,2687000
ACADEMY OF WATERFORD | MICHIGAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600308,NA,0
ACADEMY OF WESTLAND | MICHIGAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600308,NA,0
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN | COLORADO,346490000,322284000,20073000,248345000,267715000,16815000,36185000,46737000,41734000,137745000,0801920,248345000,474561000
ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213) | ARIZONA,2239000,1959000,37000,0,0,0,0,0,0,345000,0400276,0,345000
ACADIA ACADEMY | MAINE,4491000,4008000,67000,287000,287000,0,0,0,0,395000,2314831,287000,682000
ACADIA PARISH | LOUISIANA,126850000,125860000,8188000,4727000,5685000,0,958000,0,0,47914000,2200030,4727000,52641000
ACADIANA RENAISSANCE CHARTER ACADEMY | LOUISIANA,20312000,31250000,12198000,0,0,11766000,808000,0,0,2353000,2200231,0,2353000
ACALANES UNION HIGH | CALIFORNIA,116996000,109475000,2080000,218216000,222181000,8292000,12257000,16304000,2821000,31224000,0601650,218216000,268565000
